ID,x,y,z,nx,ny,nz,s
4448,-0.263352,0.228737,0.357684,-0.529477,0.453502,0.716931,0.00048657
4449,-0.274744,-0.213666,0.35819,-0.549149,-0.429525,0.716899,0.000728358
4450,0.0285965,0.346573,0.358534,0.0569597,0.693051,0.718635,0.000678918
4451,-0.28492,0.199205,0.358687,-0.573632,0.395302,0.717414,0.000607003
4452,-0.215304,-0.272444,0.358929,-0.43541,-0.544565,0.716845,0.000746728
4453,0.150166,-0.31316,0.359093,0.298306,-0.627262,0.719413,0.000559081
4454,-0.306555,0.162185,0.359266,-0.618822,0.322225,0.716401,0.000810679
4455,0.342642,0.0540533,0.359422,0.687845,0.108131,0.717759,0.000633504
4456,0.201178,0.282106,0.359785,0.400876,0.565156,0.721039,0.000644095
4457,0.256765,-0.233078,0.359849,0.51156,-0.468851,0.720059,0.000325728
4458,0.16869,-0.302706,0.35987,0.338716,-0.605764,0.719945,0.000527203
4459,0.202658,-0.28073,0.360189,0.404693,-0.561439,0.72181,0.000498291
4460,0.3367,-0.0795168,0.360324,0.674845,-0.15988,0.720433,0.000618127
4461,0.217826,-0.268954,0.360355,0.436369,-0.539987,0.719719,0.000463767
4462,0.327794,0.110404,0.360364,0.655522,0.220878,0.722153,0.000648427
4463,0.245086,-0.244397,0.360399,0.489377,-0.488989,0.722081,0.000409404
4464,0.311927,-0.149501,0.36053,0.624996,-0.299386,0.720936,0.000478432
4465,0.289073,-0.189863,0.360651,0.579826,-0.377249,0.722139,0.000409255
4466,-0.20415,0.278501,0.361115,-0.40558,0.558539,0.723561,0.000455186
4467,0.0742618,-0.336934,0.361248,0.152488,-0.674607,0.722256,0.000587978
4468,-0.031881,0.343446,0.361254,-0.0632778,0.68792,0.723023,0.00068042
4469,-0.335184,-0.0795236,0.361721,-0.673177,-0.161196,0.721698,0.000622901
4470,0.33904,-0.0572342,0.362331,0.678799,-0.113276,0.725535,0.0006383
4471,-0.246675,0.239834,0.362338,-0.492096,0.481187,0.725466,0.000442251
4472,-0.304481,-0.158513,0.362849,-0.607992,-0.315862,0.728407,0.000651453
4473,-0.338397,-0.0569113,0.362996,-0.675437,-0.112105,0.728847,0.000620337
4474,0.0139608,-0.342516,0.363357,0.0246528,-0.687703,0.725574,0.000584305
4475,0.27059,-0.21088,0.363407,0.542628,-0.417582,0.728821,0.000307727
4476,0.0726364,0.334864,0.363413,0.145122,0.670595,0.727491,0.000676982
4477,-0.333472,0.0772489,0.363765,-0.667037,0.157711,0.72814,0.000648091
4478,-0.342153,-0.0120584,0.363771,-0.687519,-0.0259911,0.725701,0.000584536
4479,-0.337947,0.0548536,0.363774,-0.678868,0.109025,0.726121,0.000580669
4480,0.244787,0.239086,0.363926,0.492191,0.479661,0.726411,0.000610975
4481,0.159525,0.302661,0.363929,0.321015,0.605001,0.728645,0.000651385
4482,-0.341985,0.01046,0.363959,-0.683525,0.0231322,0.72956,0.000607046
4483,-0.178645,-0.291767,0.363989,-0.36013,-0.587373,0.724775,0.00059268
4484,-0.217378,0.264354,0.364045,-0.43547,0.527301,0.729603,0.000431571
4485,0.309909,0.14411,0.364315,0.621637,0.287178,0.728764,0.000599595
4486,-0.318925,0.122294,0.364419,-0.643056,0.245875,0.725276,0.000665791
4487,0.0946478,0.328066,0.364541,0.189711,0.655913,0.730607,0.00068055
4488,0.138166,0.312025,0.364759,0.274844,0.625095,0.73056,0.0006488
4489,-0.173781,0.293798,0.364769,-0.345043,0.588804,0.730928,0.000548423
4490,-0.227433,-0.253898,0.364952,-0.458129,-0.510441,0.727714,0.000789378
4491,-0.266878,0.212227,0.365118,-0.532467,0.427051,0.730826,0.00054574
4492,0.293416,-0.173934,0.365119,0.586833,-0.349473,0.730408,0.000443155
4493,-0.0701962,0.333441,0.365198,-0.13967,0.66785,0.731073,0.000674635
4494,0.328652,0.0881825,0.365626,0.659347,0.17534,0.731107,0.000684733
4495,0.340122,0.0107884,0.365658,0.678649,0.0211539,0.734158,0.000635471
4496,-0.255863,-0.224035,0.365766,-0.513863,-0.448193,0.731483,0.000722193
4497,-0.28077,-0.191866,0.365827,-0.561085,-0.383703,0.733455,0.000681522
4498,-0.0101088,0.339696,0.366038,-0.020964,0.679722,0.733171,0.000676138
4499,0.339638,-0.0115097,0.366047,0.678611,-0.023626,0.734118,0.00067799
4500,-0.142536,0.308378,0.366284,-0.281715,0.617637,0.734276,0.000540973
4501,-0.287978,0.179507,0.366487,-0.574758,0.360539,0.734619,0.000689338
4502,-0.141166,-0.308225,0.366911,-0.285225,-0.621143,0.729951,0.000556751
4503,-0.107443,0.32138,0.366971,-0.213387,0.643569,0.735041,0.000651539
4504,0.0364209,-0.336854,0.367071,0.0768396,-0.673688,0.735011,0.000587516
4505,0.28924,0.175743,0.367404,0.58041,0.350342,0.735109,0.000605987
4506,0.226102,0.251696,0.367476,0.450368,0.503644,0.737232,0.000629803
4507,-0.0251403,-0.337193,0.367717,-0.0538775,-0.676531,0.734441,0.00057509
4508,-0.306588,0.141684,0.367924,-0.615352,0.289239,0.733268,0.000706068
4509,0.267223,0.206745,0.367942,0.536131,0.413094,0.73615,0.000604869
4510,0.115422,-0.317478,0.367993,0.227396,-0.634746,0.738505,0.000596131
4511,0.318819,-0.111436,0.368128,0.638007,-0.222855,0.737077,0.000542776
