ID,x,y,z,nx,ny,nz,s
102,0.275791429,-0.203581429,-0.141726429,-0.0712749,0.0316598,-0.996954,0.000347616
103,0.299568571,0.165367857,-0.141721429,-0.096708,-0.0744952,-0.992521,0.000379081
104,0.122634286,0.322075714,-0.141715714,-0.0283884,-0.0453404,-0.998568,0.000661454
105,-0.313608571,-0.186917857,-0.141715,-0.0350726,-0.0684908,-0.997035,0.000629673
106,0.274902143,-0.24765,-0.141712143,0.0558768,-0.0337696,-0.997866,0.000417548
107,-0.296616429,0.206742143,-0.141698571,-0.0736074,0.0201396,-0.997084,0.000634546
108,0.329006429,0.095035714,-0.141688571,-0.0903106,-0.00234509,-0.995911,0.000371777
109,0.039784643,0.341769286,-0.141677143,0.000923987,-0.0566618,-0.998393,0.000595485
110,-0.125615,-0.349498571,-0.141648571,-0.0570156,-0.0887945,-0.994417,0.000400217
111,-0.265404286,-0.259807143,-0.141633571,-0.0606788,-0.047397,-0.997031,0.000454893
112,-0.337764286,0.141311429,-0.141632143,-0.0245428,0.00569874,-0.999683,0.000509687
113,0.307576429,0.147653571,-0.141622143,-0.098567,-0.0246494,-0.994825,0.000374727
114,-0.344184286,-0.068772857,-0.141607857,0.0655771,-0.0811631,-0.994541,0.000397638
115,-0.341213571,-0.080818571,-0.141594286,0.0225595,0.0957714,-0.995148,0.000418939
116,0.245587857,-0.238153571,-0.14159,-0.0858192,0.102092,-0.991066,0.000381772
117,-0.232994286,-0.251817857,-0.141589286,0.0768591,0.105029,-0.991495,0.000520449
118,0.054451643,-0.364706429,-0.141582143,-0.0240654,-0.085716,-0.996029,0.000552342
119,-0.339125714,0.053048,-0.141579286,0.0771174,0.0314186,-0.996527,0.000281739
120,-0.333162143,-0.106879286,-0.14155,0.064733,-0.0610723,-0.996032,0.000479642
121,-0.326467857,0.168395,-0.141535714,-0.0225107,0.0280783,-0.999352,0.000503343
122,-0.351027143,0.114792857,-0.141531429,-0.0535417,0.00470462,-0.998555,0.000479522
123,-0.263417143,0.226834286,-0.141524286,0.100391,-0.0289004,-0.994528,0.000592617
124,0.080547857,0.333154286,-0.141515714,-0.0141774,-0.0610164,-0.998036,0.000631592
125,-0.327378571,-0.12111,-0.141507857,0.0354212,0.0886348,-0.995434,0.000524444
126,-0.122071429,-0.318596429,-0.141503571,0.011876,0.0920336,-0.995685,0.000428997
127,0.257887143,0.226947143,-0.141482143,-0.053556,-0.0242099,-0.998271,0.000583985
128,0.37162,0.008546,-0.141479286,0.111916,-0.0294829,-0.99328,0.000410257
129,0.35552,-0.113229286,-0.141468571,0.113982,-0.0612364,-0.991594,0.000370679
130,-0.3691,0.047004357,-0.141467143,-0.13142,0.0335816,-0.990758,0.000336427
131,-0.310250714,-0.154392857,-0.141467143,0.0812531,-0.0141226,-0.996593,0.000661163
132,0.168266429,0.299660714,-0.141458571,-0.0145991,-0.071464,-0.997336,0.000692985
133,0.332010714,0.167548571,-0.141433571,0.0827432,0.0165142,-0.996434,0.000493181
134,0.304745,-0.151127143,-0.141422857,-0.118765,0.079149,-0.989763,0.000339832
135,0.033595214,-0.369056429,-0.141402143,0.0409671,-0.087854,-0.995291,0.000590092
136,0.341262857,-0.008172429,-0.141400714,-0.111873,0.0404694,-0.992898,0.000392473
137,-0.299205,-0.172752143,-0.141391429,0.0548875,0.087892,-0.994617,0.000660245
138,-0.143978571,-0.344617857,-0.141377143,-0.0221324,-0.0952586,-0.995206,0.000419042
139,-0.069167571,0.365892857,-0.141376429,0.00674141,0.110575,-0.993845,0.000535551
140,-0.048509214,0.369394286,-0.14136,-0.0433242,0.102373,-0.993802,0.000493986
141,0.241417143,0.281696429,-0.141325714,0.0883514,0.103444,-0.990703,0.000602888
142,0.373179286,-0.008156214,-0.14132,0.111904,0.0328447,-0.993176,0.000391586
143,-0.221927143,0.299102857,-0.141305,-0.0904611,0.0657418,-0.993728,0.000514765
144,0.067480643,0.366244286,-0.141279286,0.0270621,0.13989,-0.989797,0.000635291
145,-0.283331429,0.238190714,-0.141274286,-0.116797,0.0464877,-0.992067,0.000585776
146,-0.329224286,0.089029286,-0.141247143,0.134171,-0.0566715,-0.989336,0.000436562
147,0.333442143,0.060116571,-0.141245714,-0.130868,-0.0507843,-0.990098,0.000364993
148,-0.170567857,-0.293771429,-0.141236429,0.0833794,0.128816,-0.988157,0.000500362
149,-0.237755,0.28756,-0.141225,-0.0415349,0.103044,-0.993809,0.000499211
150,0.33977,0.008541643,-0.141224286,-0.111885,-0.0377131,-0.993005,0.000410159
151,-0.3368,-0.150038571,-0.141222143,-0.0951953,0.0125169,-0.99538,0.000696505
152,-0.247923571,0.23728,-0.14119,0.0195243,-0.0869716,-0.996019,0.000580832
153,0.113289286,-0.319775,-0.141167143,-0.073635,0.132145,-0.988492,0.000430243
154,0.298886429,-0.226578571,-0.141157143,0.0896565,-0.0495641,-0.994739,0.000418621
155,-0.201245714,-0.272913571,-0.141135714,0.0913677,0.131521,-0.987094,0.000514015
156,0.107688571,0.357262857,-0.141135714,0.0399459,0.143305,-0.988872,0.000688607
157,0.335217143,0.042870071,-0.141135,-0.130016,0.0112388,-0.991448,0.000364569
