xp,yp,gpz,vor,up,vp,sp,active,chi
2.17,-0.69,0.000120665,0.301662,1.00225,0.41975,0.02,1,0
2.19,-0.69,0.000103459,0.258648,0.994726,0.414393,0.02,1,0
2.13,-0.67,0.000204528,0.51132,1.00383,0.43657,0.02,1,0
2.15,-0.67,0.000180446,0.451115,0.996954,0.431993,0.02,1,0
2.17,-0.67,0.000158251,0.395628,0.990047,0.42696,0.02,1,0
2.19,-0.67,0.000137876,0.34469,0.983235,0.42149,0.02,1,0
2.13,-0.65,0.00025365,0.634125,0.988082,0.44302,0.02,1,0
2.15,-0.65,0.000225902,0.564755,0.982001,0.438521,0.02,1,0
2.17,-0.65,0.000200185,0.500462,0.975832,0.433529,0.02,1,0
2.19,-0.65,0.000176436,0.44109,0.969525,0.428148,0.02,1,0
7.16,1.44,0,0,0.981803,-0.00911577,0.32,0,0
7.48,1.44,0,0,0.983298,-0.007896,0.32,0,0
7.8,1.44,0,0,0.984629,-0.00688115,0.32,0,0
8.12,1.44,0,0,0.985817,-0.00603101,0.32,0,0
7.16,1.76,0,0,0.983224,-0.0105691,0.32,0,0
7.48,1.76,0,0,0.984481,-0.0092008,0.32,0,0
7.8,1.76,0,0,0.985621,-0.00805314,0.32,0,0
8.12,1.76,0,0,0.986654,-0.00708488,0.32,0,0
7.16,2.08,0,0,0.984773,-0.0117523,0.32,0,0
7.48,2.08,0,0,0.985783,-0.0102867,0.32,0,0
7.8,2.08,0,0,0.986721,-0.00904711,0.32,0,0
8.12,2.08,0,0,0.987588,-0.00799327,0.32,0,0
7.16,2.4,0,0,0.986394,-0.0126611,0.32,0,0
7.48,2.4,0,0,0.987157,-0.0111483,0.32,0,0
7.8,2.4,0,0,0.987891,-0.00985665,0.32,0,0
8.12,2.4,0,0,0.988589,-0.00874928,0.32,0,0
0.76,-4.96,0,0,1.03154,-0.00179941,0.32,0,0
1.08,-4.96,0,0,1.03152,0.00207411,0.32,0,0
1.4,-4.96,0,0,1.03081,0.0058609,0.32,0,0
1.72,-4.96,0,0,1.02945,0.00940779,0.32,0,0
0.76,-4.64,0,0,1.03578,-0.00217182,0.32,0,0
1.08,-4.64,0,0,1.03576,0.00249358,0.32,0,0
1.4,-4.64,0,0,1.03485,0.00704336,0.32,0,0
1.72,-4.64,0,0,1.03313,0.0112686,0.32,0,0
0.76,-4.32,0,0,1.04091,-0.00265169,0.32,0,0
1.08,-4.32,0,0,1.04088,0.00303086,0.32,0,0
1.4,-4.32,0,0,1.03971,0.00855588,0.32,0,0
1.72,-4.32,0,0,1.0375,0.0136384,0.32,0,0
0.76,-4,0,0,1.0472,-0.00327979,0.32,0,0
1.08,-4,0,0,1.04716,0.00372871,0.32,0,0
1.4,-4,0,0,1.04563,0.0105195,0.32,0,0
1.72,-4,0,0,1.04275,0.0166983,0.32,0,0
-0.52,-4.96,0,0,1.02535,-0.015073,0.32,0,0
-0.2,-4.96,0,0,1.02767,-0.0123485,0.32,0,0
0.12,-4.96,0,0,1.02955,-0.00915597,0.32,0,0
0.44,-4.96,0,0,1.03087,-0.00559518,0.32,0,0
-0.52,-4.64,0,0,1.02798,-0.0178654,0.32,0,0
-0.2,-4.64,0,0,1.03088,-0.0147305,0.32,0,0
0.12,-4.64,0,0,1.03325,-0.0109767,0.32,0,0
0.44,-4.64,0,0,1.03493,-0.00673176,0.32,0,0
-0.52,-4.32,0,0,1.03096,-0.0213585,0.32,0,0
-0.2,-4.32,0,0,1.03463,-0.0177406,0.32,0,0
0.12,-4.32,0,0,1.03765,-0.0132969,0.32,0,0
0.44,-4.32,0,0,1.03981,-0.00818913,0.32,0,0
-0.52,-4,0,0,1.03433,-0.0257703,0.32,0,0
-0.2,-4,0,0,1.03902,-0.0215908,0.32,0,0
0.12,-4,0,0,1.04294,-0.0162937,0.32,0,0
0.44,-4,0,0,1.04575,-0.0100848,0.32,0,0
8.44,-3.68,0,0,0.992897,0.0093639,0.32,0,0
8.76,-3.68,0,0,0.993074,0.0085205,0.32,0,0
9.08,-3.68,0,0,0.993272,0.00776693,0.32,0,0
9.4,-3.68,0,0,0.993482,0.00709295,0.32,0,0
8.44,-3.36,0,0,0.991992,0.00914731,0.32,0,0
8.76,-3.36,0,0,0.99227,0.00828527,0.32,0,0
9.08,-3.36,0,0,0.992555,0.00752109,0.32,0,0
9.4,-3.36,0,0,0.992843,0.00684244,0.32,0,0
8.44,-3.04,0,0,0.991071,0.00881913,0.32,0,0
8.76,-3.04,0,0,0.991457,0.00795248,0.32,0,0
9.08,-3.04,0,0,0.991837,0.00718996,0.32,0,0
9.4,-3.04,0,0,0.992207,0.00651736,0.32,0,0
8.44,-2.72,0,0,0.99015,0.00837067,0.32,0,0
8.76,-2.72,0,0,0.990651,0.00751597,0.32,0,0
9.08,-2.72,0,0,0.991129,0.00676926,0.32,0,0
9.4,-2.72,0,0,0.991583,0.00611475,0.32,0,0
7.16,-3.68,0,0,0.992641,0.0138769,0.32,0,0
7.48,-3.68,0,0,0.992602,0.0125516,0.32,0,0
7.8,-3.68,0,0,0.992646,0.0113667,0.32,0,0
8.12,-3.68,0,0,0.99275,0.0103085,0.32,0,0
7.16,-3.36,0,0,0.991188,0.0138833,0.32,0,0
7.48,-3.36,0,0,0.991311,0.0124705,0.32,0,0
7.8,-3.36,0,0,0.991499,0.011223,0.32,0,0
8.12,-3.36,0,0,0.991731,0.0101213,0.32,0,0
7.16,-3.04,0,0,0.989643,0.0137032,0.32,0,0
7.48,-3.04,0,0,0.989956,0.0122242,0.32,0,0
7.8,-3.04,0,0,0.990309,0.010934,0.32,0,0
8.12,-3.04,0,0,0.990685,0.00980651,0.32,0,0
7.16,-2.72,0,0,0.988033,0.013305,0.32,0,0
7.48,-2.72,0,0,0.98856,0.0117899,0.32,0,0
7.8,-2.72,0,0,0.989098,0.010483,0.32,0,0
8.12,-2.72,0,0,0.98963,0.00935218,0.32,0,0
5.88,-3.68,0,0,0.994307,0.0208195,0.32,0,0
6.2,-3.68,0,0,0.993571,0.0188229,0.32,0,0
6.52,-3.68,0,0,0.993083,0.0170026,0.32,0,0
6.84,-3.68,0,0,0.992788,0.0153568,0.32,0,0
